Time,Type,Price,Quantity
2023-05-30 15:30:00,open_long,1900.82,0.03692
2023-05-30 16:45:00,close_long,1902.78,0.03692
2023-05-30 18:45:00,open_long,1910.73,0.03674
2023-05-30 20:00:00,close_long,1914.48,0.03674
2023-05-30 20:30:00,open_long,1908.53,0.03682
2023-05-30 21:30:00,close_long,1912.5,0.03682
2023-05-30 22:00:00,open_long,1904.29,0.03694
2023-05-30 23:30:00,close_long,1898.6,0.03694
2023-05-31 02:00:00,open_long,1902.12,0.03686
2023-05-31 03:30:00,close_long,1906.49,0.03686
2023-05-31 03:45:00,open_long,1906.95,0.03681
2023-05-31 05:00:00,close_long,1902.79,0.03681
2023-05-31 05:45:00,open_long,1907.24,0.03672
2023-05-31 08:00:00,close_long,1899.81,0.03672
2023-05-31 10:00:00,open_long,1902.54,0.03666
2023-05-31 11:15:00,close_long,1894.29,0.03666
2023-05-31 12:30:00,open_long,1894.28,0.03666
2023-05-31 14:15:00,close_long,1862.0,0.03666
2023-05-31 14:30:00,open_long,1865.35,0.03666
2023-05-31 14:45:00,close_long,1863.01,0.03666
2023-05-31 16:30:00,open_long,1869.47,0.03652
2023-05-31 19:15:00,close_long,1866.29,0.03652
2023-05-31 22:00:00,open_long,1867.73,0.03647
2023-05-31 23:15:00,close_long,1856.55,0.03647
2023-06-01 02:30:00,open_long,1864.75,0.03632
2023-06-01 04:15:00,close_long,1865.27,0.03632
2023-06-01 04:45:00,open_long,1866.02,0.03628
2023-06-01 06:15:00,close_long,1864.45,0.03628
2023-06-01 07:45:00,open_long,1874.77,0.03606
2023-06-01 08:15:00,close_long,1884.24,0.03606
2023-06-01 08:30:00,open_long,1886.2,0.03597
2023-06-01 11:15:00,close_long,1853.86,0.03597
2023-06-01 14:15:00,open_long,1854.71,0.03603
2023-06-01 15:15:00,close_long,1852.04,0.03603
2023-06-01 15:45:00,open_long,1854.79,0.03596
2023-06-01 16:00:00,close_long,1853.6,0.03596
2023-06-01 18:00:00,open_long,1861.27,0.03579
2023-06-01 20:00:00,close_long,1860.81,0.03579
2023-06-01 21:45:00,open_long,1859.95,0.03578
2023-06-01 23:00:00,close_long,1859.78,0.03578
2023-06-02 00:45:00,open_long,1860.37,0.03575
2023-06-02 03:00:00,close_long,1872.9,0.03575
2023-06-02 03:15:00,open_long,1873.58,0.03567
2023-06-02 04:00:00,close_long,1868.61,0.03567
2023-06-02 05:45:00,open_long,1866.6,0.0357
2023-06-02 07:30:00,close_long,1859.71,0.0357
2023-06-02 10:45:00,open_long,1877.57,0.03536
2023-06-02 12:45:00,close_long,1885.75,0.03536
2023-06-02 14:00:00,open_long,1892.34,0.03519
2023-06-02 16:15:00,close_long,1887.84,0.03519
2023-06-02 18:00:00,open_long,1889.04,0.03515
2023-06-02 19:15:00,close_long,1891.35,0.03515
2023-06-02 20:15:00,open_long,1897.88,0.035
2023-06-02 20:30:00,close_long,1892.1,0.035
2023-06-02 20:45:00,open_long,1893.23,0.03497
2023-06-02 22:45:00,close_long,1884.39,0.03497
2023-06-03 00:45:00,open_long,1890.97,0.03485
2023-06-03 01:45:00,close_long,1890.66,0.03485
2023-06-03 02:15:00,open_long,1891.78,0.03481
2023-06-03 02:30:00,close_long,1890.77,0.03481
